"iso3c","country","colony","colony_gbr","colony_fra","colony_esp","colony_prt","colony_nld","colony_ita","colony_bel","colony_usa","colony_other","colonizer"
"TLS","Timor-Leste",1,0,0,0,1,0,0,0,0,0,"Colony of PRT"
"TON","Tonga",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"TTO","Trinidad & Tobago",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"TUN","Tunisia",1,0,1,0,0,0,0,0,0,0,"Colony of FRA"
"TUR","Turkey",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"TUV","Tuvalu",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"TWN","Taiwan",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"TZA","Tanzania",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"UGA","Uganda",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"UKR","Ukraine",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"URY","Uruguay",1,0,0,1,0,0,0,0,0,0,"Colony of ESP"
"USA","United States",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"UZB","Uzbekistan",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"VAT","Vatican City",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"VCT","St. Vincent & Grenadines",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"VEN","Venezuela",1,0,0,1,0,0,0,0,0,0,"Colony of ESP"
"VNM","Vietnam",1,0,1,0,0,0,0,0,0,0,"Colony of FRA"
"VUT","Vanuatu",1,0,0,0,0,0,0,0,0,1,"Colony of another country"
"WSM","Samoa",1,0,0,0,0,0,0,0,0,1,"Colony of another country"
"YAR","North Yemen",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"YEM","Yemen",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"YPR","South Yemen",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"YUG","Yugoslavia",0,0,0,0,0,0,0,0,0,0,"Not colonized"
"ZAF","South Africa",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"ZAN","Zanzibar",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"ZMB","Zambia",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
"ZWE","Zimbabwe",1,1,0,0,0,0,0,0,0,0,"Colony of GBR"
