"","iso3c","WEOG","Central America","Carribean","South America","Eastern Europe","Middle East","North Africa","East Africa","West Africa","Central Africa","Southern Africa","Central Asia","South Asia","East Asia","Southeast Asia"
"150","PLW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"151","PNG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"152","POL",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"153","PRK",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"154","PRT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155","PRY",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"156","PSE",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"157","QAT",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"158","ROU",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"159","RUS",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"160","RVN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"161","RWA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"162","SAU",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"163","SDN",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"164","SEN",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"165","SGP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"166","SLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"167","SLE",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"168","SLV",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","SMR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","SOM",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"171","SOV",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"172","SRB",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"173","STP",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
