"confid","conf_name"
"303","Country vs. Republic of Biafra"
"307","Country vs. RFDG"
"308","Country vs. MIM, MNLF, MILF, ASG, MNLF - NM, MNLF - HM, BIFM, al-Harakat al-Islamiyah, Maute group, BIFM-K"
"309","Country vs. Sudanese Communist Party, National Front, SPLM/A, NDA, JEM, SLM/A, NRF, SLM/A - MM, SLFA, SSDM/A, SPLM/A-North, SRF, SSLM/A, Darfur Joint Resistance Forces, SARC"
"310","Country vs. Monima"
"311","Country vs. Military faction (forces of Mohamed Madbouh)"
"312","Country vs. Mukti Bahini"
"313","Country vs. JVP"
"314","Country vs. Military faction (forces of Idi Amin), Kikosi Maalum, Military faction (forces of Charles Arube), Fronasa, UNLF, FUNA, NRA, UNRF, UFM, HSM, UPDA, UPA, Lord's Army, LRA, ADF, WNBF, UNRF II"
"315","Country vs. PIRA, RIRA"
"316","Country vs. Military faction (forces of Benjamin Mejia), ERP, FPL, FMLN"
"317","Country vs. PFLO"
"318","Country vs. ZAPU, ZANU, PF"
"319","Country vs. MLN/Tupamaros"
"321","Country vs. Military faction (forces of Augusto Pinochet, Toribio Merino and Leigh Guzman)"
"322","Country vs. JSS/SB"
"325","Country vs. BLF, BLA, Baloch Ittehad, BRA, UBA, BRAS"
"326","Country vs. EIJM - AS"
"327","Country vs. FNLA, UNITA"
"329","Country vs. Ogaden Liberation Front, WSLF, AIAI, ONLF"
"330","Country vs. CNRT"
"331","Country vs. POLISARIO"
"332","Country vs. Renamo, Ansar al-Sunnah"
"333","Country vs. PDPA, Jam'iyyat-i Islami-yi Afghanistan, Harakat-i Inqilab-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan, Hizb-i Islami-yi Afghanistan - Khalis faction, Jabha-yi Nijat-i Milli-yi Afghanistan, Mahaz-i Milli-yi Islami-yi Afghanistan, Ittihad-i Islami Bara-yi Azadi-yi Afghanistan, Harakat-i Islami-yi Afghanistan, Hizb-i Wahdat, Military faction (forces of Shahnawaz Tanay), Junbish-i Milli-yi Islami, Taleban, UIFSA"
"335","Country vs. TNV, ATTF, NLFT, NLFT-B"
"336","Country vs. FSLN, Contras"
"337","Country vs. SSDF, SNM, SPM, USC/SSA, USC/SNA, SRRC, ARS/UIC, Al-Shabaab, Hizbul Islam"
"338","Country vs. MEK, PJAK, Jondullah, Jaish al-Adl"
"339","Country vs. APCO"
"340","Country vs. JSM"
"341","Country vs. Military faction (forces of Samuel Doe), NPFL, INPFL, LURD, MODEL"
"342","Country vs. ETA"
"343","Country vs. Résistance Armée Tunisienne"
"344","Country vs. NRC"
"345","Country vs. ANC"
"347","Country vs. PLA, UNLF, KCP, PREPAK"
"348","Country vs. Military faction (forces of Hezekiah Ochuka)"
"351","Country vs. Sikh insurgents"
"352","Country vs. LTTE, TELO, EPRLF"
"353","Country vs. UPC, Military faction (forces of Ibrahim Saleh), Jama'atu Ahlis Sunna Lidda'awati wal-Jihad"
"354","Country vs. PKK"
"357","Country vs. SLA"
"358","Country vs. MTD"
"359","Country vs. YSP - AFI"
"360","Country vs. Popular Front, JNIM"
"362","Country vs. Presidential guard"
"363","Country vs. ALF, ARDUF"
"364","Country vs. Kashmir insurgents"
"365","Country vs. ULFA"
"366","Country vs. GAM"
"367","Country vs. Military faction (forces of Moisés Giroldi)"
"369","Country vs. BRA"
"370","Country vs. Military faction (forces of Nicolae Ceausescu), NSF"
"372","Country vs. MPA, FPLA, FIAA, ATNMC, CMA"
"373","Country vs. CRA"
"374","Country vs. FPR, ALiR, FDLR, CNRD, FDLR-RUD"
"375","Country vs. MFDC"
"376","Country vs. Republic of Armenia"
"377","Country vs. APF"
"378","Country vs. Jamaat al-Muslimeen"
"379","Country vs. FRUD, FRUD-C"
"380","Country vs. National Guard and Mkhedrioni, Zviadists"
"381","Country vs. Military faction (forces of Himmler Rebu and Guy Francois), Military faction (forces of Raol Cédras), FLRN, OP Lavalas"
"382","Country vs. RUF, AFRC, Kamajors, WSB"
"383","Country vs. DHKP-C, MKP, TAK, Yurtta Sulh Konseyi"
"384","Country vs. Republic of Slovenia"
"385","Country vs. Croatian irregulars, Republic of Croatia"
"386","Country vs. Takfir wa'l Hijra, AIS, GIA, AQIM, MUJAO"
"387","Country vs. FLEC-R, FLEC-FAC, FLEC-FAC-TN"
"388","Country vs. Republic of Artsakh"
"389","Country vs. Serbian irregulars, Serbian Republic of Bosnia-Herzegovina"
"390","Country vs. Serbian irregulars, Serbian Republic of Krajina"
"391","Country vs. al-Gama'a al-Islamiyya, Ansar Bayt al-Maqdis, Harakit Sawa'id Misr, Jama'at Ansar al-Islam"
"392","Country vs. Republic of Abkhazia"
"393","Country vs. Republic of South Ossetia"
"394","Country vs. PMR"
"395","Country vs. PFT, UTO, Forces of Khudoberdiyev, Forces of Mullo Abdullo, IMU"
"396","Country vs. Military faction (forces of Suret Husseinov), OPON Forces"
"397","Country vs. Autonomous Province of Western Bosnia"
"398","Country vs. Croatian irregulars, Croatian Republic of Bosnia-Herzegovina"
"399","Country vs. Parliamentary Forces"
"400","Country vs. EZLN, EPR"
"401","Country vs. Chechen Republic of Ichkeria"
"402","Country vs. Democratic Republic of Yemen"
"404","Country vs. MQM, TTP, Lashkar-e-Islam, TTP - TA, IMU, Jamaat-ul-Ahrar"
"406","Country vs. FDR"
"407","Country vs. MPA/Republic of Anjouan"
"408","Country vs. Ninjas, Cobras, Cocoyes, Ntsiloulous"
"410","Country vs. Military Junta for the Consolidation of Democracy, Peace and Justice"
"411","Country vs. Military faction (Lesotho)"
"412","Country vs. UCK"
"413","Country vs. OLF"
"414","Country vs. Wahhabi movement of the Buinaksk district"
"415","Country vs. IMU, JIG"
"416","Country vs. Military faction (forces of André Kolingba), Forces of Francois Bozize, Seleka, CPJP, anti-Balaka, UPC (Ali Darass Fulani supporters)"
"417","Country vs. UCK"
"418","Country vs. al-Qaida"
"419","Country vs. MPCI, MPIGO, MJP, FRCI, FDSI-CI"
"421","Country vs. ABSU, NDFB, NDFB - RD, NDFB-S"
"422","Country vs. UWSA"
"423","Country vs. Patani insurgents"
"424","Country vs. Ahlul Sunnah Jamaa"
"425","Country vs. NDPVF"
"426","Country vs. Hezbollah"
"428","Country vs. POLISARIO"
"429","Country vs. BDK"
"430","Country vs. FLAA, UFRA, MNJ"
"432","Country vs. Forces of the Caucasus Emirate"
"434","Country vs. PULF"
"436","Country vs. SALF"
"437","Country vs. SLM"
"439","Country vs. MNDAA"
"440","Country vs. LNUP"
"442","Country vs. AQIM"
