"iso3c","year","shec"
"AUS",1989,16.16
"AUS",1990,16
"AUS",1991,15.91
"AUS",1992,15.88
"AUS",1993,15.8
"AUS",1994,15.73
"AUS",1995,15.62
"AUS",1996,15.51
"AUS",1997,15.36
"AUS",1998,15.19
"AUS",1999,14.99
"AUS",2000,14.8
"AUS",2001,14.68
"AUS",2002,14.55
"AUS",2003,14.37
"AUS",2004,14.14
"AUS",2005,13.98
"AUS",2006,13.74
"AUS",2007,13.5
"AUS",2008,13.23
"AUS",2009,12.99
"AUT",1955,16.89
"AUT",1956,16.65
"AUT",1957,16.51
"AUT",1958,16.34
"AUT",1959,16.15
"AUT",1960,15.98
"AUT",1961,15.66
"AUT",1962,15.32
"AUT",1963,15.06
"AUT",1964,14.83
"AUT",1965,14.52
"AUT",1966,14.23
"AUT",1967,13.89
"AUT",1968,13.64
"AUT",1969,13.35
"AUT",1970,13.1
"AUT",1971,12.83
"AUT",1972,12.61
"AUT",1973,12.36
"AUT",1974,12.1
"AUT",1975,11.82
"AUT",1976,11.69
"AUT",1977,11.55
"AUT",1978,11.38
"AUT",1979,11.3
"AUT",1980,11.13
"AUT",1981,11.01
"AUT",1982,11
"AUT",1983,10.93
"AUT",1984,10.93
"AUT",1985,10.86
"AUT",1986,10.81
"AUT",1987,10.77
"AUT",1988,10.71
"AUT",1989,10.63
"AUT",1990,10.57
"AUT",1991,10.5
"AUT",1992,10.44
"AUT",1993,10.35
"AUT",1994,10.35
"AUT",1995,10.27
"AUT",1996,10.16
"AUT",1997,10.08
"AUT",1998,10.01
"AUT",1999,9.93
"AUT",2000,9.86
"AUT",2001,9.98
"AUT",2002,9.71
"AUT",2003,9.68
"AUT",2004,9.96
"AUT",2005,9.57
"AUT",2006,9.54
"AUT",2007,9.5
"AUT",2008,9.42
"AUT",2009,9.34
"BHS",1974,34.5
"BHS",1975,34.97
"BHS",1976,35.57
"BHS",1977,36.09
"BHS",1978,36.52
"BHS",1979,37.08
"BHS",1980,37.27
"BHS",1981,36.94
"BHS",1982,36.82
"BHS",1983,36.4
"BHS",1984,36.09
"BHS",1985,35.99
"BHS",1986,35.57
"BHS",1987,35.23
"BHS",1988,34.86
