"iso3c","year","irst","pec","upop_perc","irst_per_capita_un","irst_per_capita_cow","pec_per_capita_un","pec_per_capita_cow"
"USA",1946,60421,1188144,0.280962451110058,40.3830951631363,42.7338760441053,794.110197108777,840.336942760752
"USA",1947,77015,1315777,0.283481120686066,50.4963866502932,53.4358824917086,862.714849543112,912.935209469492
"USA",1948,80413,1396394,0.285439650019021,51.6204954962684,54.6254279658714,896.404190715633,948.585674691593
"USA",1949,70740,1199344,0.288554888593615,44.6350721841538,47.2333691667724,756.754396573816,800.806586230612
"USA",1950,87848,1241836,0.288722081026591,54.5182610854253,57.6918782959329,770.680485307351,815.543340491623
"USA",1951,95435,1325948,0.288685287774894,58.4672972774279,61.6194682266042,812.328767123288,856.12417515722
"USA",1952,84520,1309824,0.286398862604965,51.0223177364732,53.6454399471924,790.703458434197,831.354528317455
"USA",1953,101250,1347597,0.290796833641312,60.1511352969832,63.2085601558208,800.587550348728,841.280652249913
"USA",1954,80115,1302449,0.288340510102683,46.8016123378899,49.1424680725774,760.865171164856,798.92103100119
"USA",1955,106173,1415958,0.287396568453152,60.9657081170472,63.9862352423598,813.05870733612,853.341449156577
"USA",1956,104522,1492506,0.286489878806179,58.9889891584692,61.8828558403344,842.324297783722,883.646826876965
"USA",1957,102253,1494767,0.28541608521723,56.7274885854882,59.4549492976091,829.26053935302,869.131430830775
"USA",1958,77342,1437859,0.284380325019156,42.1926058470217,44.2252490250569,784.399395549543,822.188103978683
"USA",1959,84773,1513627,0.282966878479447,45.4966510669357,47.6708091997976,812.345433858572,851.165157734915
"USA",1960,90067,1421218,0.282092864931284,47.5804832694116,49.8513873283482,750.799285767114,786.63316193523
"USA",1961,88917,1447002,0.277318975888857,46.2663579363634,48.4057466070738,752.92140385566,787.737014878247
"USA",1962,89202,1508570,0.272952427923533,45.7493076212945,47.8197471828796,773.704995384142,808.71993910088
"USA",1963,99120,1589655,0.268920218556134,50.1482388416121,52.3773792287124,804.261487245388,840.011731011086
"USA",1964,115281,1610682,0.265080332900792,57.5875194820765,60.076919469068,804.60076729409,839.382142801307
"USA",1965,119260,1700357,0.261658337750832,58.8781263268067,61.378362660381,839.458613505534,875.105891314082
"USA",1966,121655,1784048,0.258521571021571,59.4166516075781,61.8920431420431,871.334170130257,907.635327635328
"USA",1967,115406,1903194,0.255596038487862,55.8091175944329,58.0770159829301,920.364432967256,957.76500664278
"USA",1968,119262,2094353,0.252932149512222,57.1418988845874,59.421243012167,1003.46554103262,1043.49296981655
"USA",1969,128152,2198902,0.262077098042698,60.8520579688123,63.2296708555978,1044.13284202929,1084.92922235873
"USA",1970,119309,2276904,0.270506993348029,56.1488467529778,58.18475313579,1071.54978892826,1110.4032147943
"USA",1971,109265,2311854,0.267551442013666,50.9619645064248,52.6170056004739,1078.26496583568,1113.28270594864
"USA",1972,120875,2396418,0.26514083164996,55.8721838570412,57.588043602546,1107.69892115262,1141.71685024965
"USA",1973,136804,2490304,0.263051592900726,62.6644435486826,64.5578998532389,1140.70871046942,1175.1761369267
"USA",1974,132196,2430725,0.260626408671337,60.0026325703418,61.8160053120353,1103.28526623002,1136.62826040196
"USA",1975,105897,2393766,0.258032254031754,47.6239088689114,49.0325179536331,1076.52241175386,1108.36354544318
"USA",1976,116121,2536257,0.255559887174078,51.7351071271046,53.2579631710505,1129.97242184333,1163.23388446809
"USA",1977,113701,2619481,0.252966095923065,50.1776281239381,51.6261879140388,1156.00868502231,1189.3810814615
"USA",1978,124314,2612982,0.252523754970011,54.3375542549425,55.8501246714738,1142.13243232611,1173.92546667565
"USA",1979,123688,2659868,0.251947301770678,53.5473704261693,54.959010019773,1151.51782776594,1181.87465286263
"USA",1980,101456,2584210,0.25116587477934,43.5054437550117,44.5517859181648,1108.13754540036,1134.78917646646
"USA",1981,109614,2502657,0.251450214379517,46.5594576685866,47.6653070453893,1063.02436413681,1088.27261421254
"USA",1982,67656,2380353,0.251748583044774,28.4664806937379,29.1384567677916,1001.54121909042,1025.18347201406
"USA",1983,76762,2378677,0.251191812451186,31.9942981944282,32.7612918094636,991.429369300278,1015.19672907766
"USA",1984,83940,2467563,0.250727740450522,34.658023493466,35.5154264051314,1018.83317161791,1044.03802866959
"USA",1985,80067,2466405,0.252698497899072,32.7493823726706,33.5758556775389,1008.82061811816,1034.27951993156
"USA",1986,74032,2468629,0.254563662731507,29.9972446879204,30.7632214285417,1000.27107408548,1025.81289917765
"USA",1987,80876,2561765,0.25524703052668,32.4627210147109,33.3091711833413,1028.26379272282,1055.07528706282
"USA",1988,90631,2669996,0.255851539255819,36.0351799353497,36.9890744058672,1061.59908074129,1089.70088278148
"USA",1989,87722,2745073,0.256333336028657,34.5473735615435,35.4658731634741,1081.08641372412,1109.82890087409
"USA",1990,89726,2798225,0.256559440111722,34.9983617555739,35.9037561973054,1091.47059741313,1119.70653082947
"USA",1991,79738,2827021,0.256569207261557,30.8037611354488,31.564654933536,1092.1126640861,1119.08929688304
"USA",1992,84322,2856725,0.256128837742912,32.2601872362567,33.0168251817801,1092.9352171734,1118.56917432486
"USA",1993,88793,2921265,0.255962065919762,33.6348587641245,34.3982923465514,1106.57749696012,1131.69424945377
"USA",1994,91244,2962511,0.255013392069132,34.205297764982,35.0127781060775,1110.57791073423,1136.79518959947
"USA",1995,95191,2996708,0.254781069817891,35.2937032601562,36.2280451371049,1111.08112016195,1140.49513805636
"USA",1996,95535,3055692,0.254191734141524,35.0084832405612,36.0123490297191,1119.7481778439,1151.85687791197
"USA",1997,98485,3114015,0.255702666283441,35.6495173007938,36.7617142153258,1127.20852533311,1162.37528042075
"USA",1998,98658,3126886,0.253886464156947,35.2735489499238,36.0028902155984,1117.96677797879,1141.08266308552
"USA",1999,97427,3161089,0.255747272082196,34.4220013637793,35.2717780883215,1116.84656069701,1144.41817694719
"USA",2000,101803,3283713,0.270666805577011,35.5741846658117,36.5728183591575,1147.46532667531,1179.67681789932
"USA",2001,90104,3184088,0.268031510423974,31.1731085924634,31.6030191643986,1101.59283707671,1116.78498274362
"USA",2002,91587,3227356,0.541981603334826,31.397991751715,31.5523478141041,1106.40699081581,1111.84621214731
"USA",2003,93677,3243291,0.545163085600735,31.8405068540178,31.9844443002837,1102.38403572995,1107.36744706931
"USA",2004,99681,3267987,0.548494519217428,33.5958827930679,33.7344790126131,1101.42262037168,1105.96642153462
"USA",2005,94897,3267376,0.551816773206871,31.7080097833496,31.826901792961,1091.73093115569,1095.82447361537
"USA",2006,98557,3245355,0.553144615425513,32.6381184823608,32.749391080703,1074.73118101527,1078.39524428214
"USA",2007,98102,3309846,0.557597922228403,32.1937228442788,32.2930210970186,1086.17831217758,1089.52851833686
"USA",2008,91350,3258569,0.562129675826738,29.7082831962015,29.7889824787955,1059.73169859182,1062.61034315212
"USA",2009,58196,3108946,0.565872461969938,18.7620696436574,18.8037170589224,1002.30705495859,1004.53194266734
"USA",2010,80495,3211935,0.567976633882792,25.7392088458845,25.7792708977188,1027.05342896336,1028.65199665649
"USA",2011,86398,3206262,0.574103241540494,27.4163607111918,27.4356010568032,1017.43137024685,1018.1453866477
"USA",2012,88695,3159873,0.578611360451016,27.9435300937595,27.9349931497142,995.524057364654,995.21991779657
"CAN",1946,2111,59632,0.236169866579889,17.1787737495358,17.1737715587374,485.269841891198,485.128538887081
"CAN",1947,2672,62009,0.23679388096566,21.2953411785298,21.2891403075452,494.200153869555,494.056250497968
"CAN",1948,2903,68228,0.230956178324599,22.0539648705381,22.0475431001747,518.325151631787,518.174223437381
"CAN",1949,2892,63490,0.231020408163265,21.4682178147866,21.4619666048237,471.306068139973,471.168831168831
"CAN",1950,3070,60887,0.231928368639441,22.3549115269788,22.3484021256461,443.362702978228,443.233602678896
"CAN",1951,3237,64945,0.232099644128114,22.95907511171,23.0391459074733,460.63550606426,462.241992882562
"CAN",1952,3359,64874,0.230201434878587,23.1943101781522,23.1719094922737,447.962988537495,447.530353200883
"CAN",1953,3734,67118,0.229410184065565,25.0873421123354,25.0839715168615,450.940607363612,450.880021496708
"CAN",1954,2898,67691,0.228049575994781,18.9362258233142,18.9041095890411,442.309200209096,441.559034572733
"CAN",1955,4114,72628,0.22737671581088,26.1405515313255,26.1438739196746,461.481763883594,461.540416878495
"CAN",1956,4809,83921,0.22725299261924,29.7163690292282,29.8269552812752,518.575047889761,520.504868820939
"CAN",1957,4598,82785,0.224860586436409,27.6471649329565,27.5709060382563,497.775239011485,496.402230617017
"CAN",1958,3955,84364,0.224357476635514,23.1625183016105,23.1016355140187,494.07906295754,492.780373831776
"CAN",1959,5354,90080,0.224517749115398,30.5837998400548,30.5558726172811,514.56643436536,514.096564319142
"CAN",1960,5270,94926,0.226087442068234,29.4134062622091,29.4265453124128,529.80967795948,530.046345412921
"CAN",1961,5886,99412,0.227766202434477,32.1569055944056,32.2732755784626,543.116258741259,545.081697554556
"CAN",1962,6507,109109,0.228161598796605,34.8545717499598,34.9575588266896,584.439445069366,586.166326420973
"CAN",1963,7436,112561,0.231965829993672,39.101856233896,39.2111368909513,591.896723983804,593.550938620544
"CAN",1964,8282,128155,0.235653298835705,42.7811353892247,42.856403622251,661.991838421406,663.156532988357
"CAN",1965,9132,135644,0.238947047464173,46.3459196102314,46.407155198699,688.40844498579,689.318020123996
"CAN",1966,9093,141051,0.231693934557063,45.3470975463794,45.3561452513966,703.426092160383,703.566440542697
"CAN",1967,8797,151902,0.228737997256516,43.1204352727807,43.0971977268274,744.581147982942,744.179894179894
"CAN",1968,10161,168715,0.226349558589416,48.9663148763915,49.018283564089,813.045154450388,813.908051522022
"CAN",1969,9350,172706,0.228552406315389,44.308596341579,44.4645234924862,818.43427163302,821.314437892334
