"iso3c","year","lo","bq","cr"
"GNQ",1989,NA,NA,NA
"GRC",1989,3,2,5
"GRD",1989,NA,NA,NA
"GTM",1989,1,0,2
"GUY",1989,1,0,1
"HND",1989,2,1,2
"HTI",1989,1,0,1
"HUN",1989,5,3,4
"IDN",1989,2,0,0
"IND",1989,2,3,2.66666666666667
"IRL",1989,4.33333333333333,3.5,5
"IRN",1989,1,1,3
"IRQ",1989,2,1,2.25
"ISL",1989,6,4,6
"ISR",1989,1,3.125,5
"ITA",1989,5,3,4
"JAM",1989,2,2,2
"JOR",1989,2,2,3
"JPN",1989,5,4,5
"KEN",1989,4,3,3
"KHM",1989,NA,NA,NA
"KNA",1989,NA,NA,NA
"KOR",1989,2,3,2
"KWT",1989,3,2,3
"LAO",1989,NA,NA,NA
"LBN",1989,1,0.25,1.41666666666667
"LBR",1989,2,0,0
"LBY",1989,2,1,3
"LCA",1989,NA,NA,NA
"LIE",1989,NA,NA,NA
"LKA",1989,0,2,3
"LSO",1989,NA,NA,NA
"LUX",1989,6,4,6
"MAR",1989,2,2,3
"MCO",1989,NA,NA,NA
"MDG",1989,4,2,4
"MDV",1989,NA,NA,NA
"MEX",1989,3,2,3
"MLI",1989,2,0,1.5
"MLT",1989,2,2,3
"MMR",1989,2,0,2
"MNG",1989,1,1,4
"MOZ",1989,2.5,2,4
"MRT",1989,NA,NA,NA
"MUS",1989,NA,NA,NA
"MWI",1989,2,1,4
"MYS",1989,3,2,4
"NCL",1989,1.33333333333333,3,2
"NER",1989,4,3,4
"NGA",1989,1,2,2
"NIC",1989,2,1,5
"NLD",1989,6,4,6
"NOR",1989,6,3.5,6
"NPL",1989,NA,NA,NA
"NZL",1989,6,4,6
"OMN",1989,4,2,3
"PAK",1989,2,2,2
"PAN",1989,2,0,2
"PER",1989,1,1,3
"PHL",1989,1,0,2
"PNG",1989,4,3,3
"POL",1989,4,1,4
"PRK",1989,2,2,5
"PRT",1989,5,2,5
"PRY",1989,2,0,0
"QAT",1989,3,1,2
"ROU",1989,2,0,2
"RWA",1989,NA,NA,NA
"SAU",1989,4,3,2
"SDN",1989,1.91666666666667,0,2
"SEN",1989,2,2,3
"SGP",1989,5,3.5,4
"SLB",1989,NA,NA,NA
"SLE",1989,3,2,2
"SLV",1989,1,0,2
"SMR",1989,NA,NA,NA
"SOM",1989,3,0.833333333333333,4
"SOV",1989,3,3,4
"STP",1989,NA,NA,NA
"SUR",1989,1,1,2.41666666666667
"SWE",1989,6,4,6
"SWZ",1989,NA,NA,NA
"SYC",1989,NA,NA,NA
"SYR",1989,2,1,2
"TCD",1989,NA,NA,NA
"TGO",1989,2,1,2
"THA",1989,4,3.5,3
"TTO",1989,4,2,3
"TUN",1989,2,2,3
"TUR",1989,2.75,2,2.08333333333333
"TWN",1989,5,3,4
"TZA",1989,4,0,3.66666666666667
"UGA",1989,1,0,3
"URY",1989,3,1,3
"USA",1989,6,4,5
"VCT",1989,NA,NA,NA
"VEN",1989,4,2,3
"VNM",1989,3,1,3
"VUT",1989,NA,NA,NA
"WSM",1989,NA,NA,NA
"YAR",1989,NA,NA,NA
"YPR",1989,NA,NA,NA
"YUG",1989,2,1,3
"ZAF",1989,2,4,5
"ZMB",1989,2,1,2
"ZWE",1989,2,2,3
"AFG",1990,NA,NA,NA
"AGO",1990,1.16666666666667,2,3
"ALB",1990,4,1,4
"AND",1990,NA,NA,NA
"ARE",1990,3,2,3
"ARG",1990,3,2,4
"ATG",1990,NA,NA,NA
"AUS",1990,6,4,5
"AUT",1990,6,4,5.08333333333333
"BDI",1990,NA,NA,NA
"BEL",1990,6,4,5
"BEN",1990,NA,NA,NA
"BFA",1990,3,1.5,4
"BGD",1990,1,0,0.0833333333333333
"BGR",1990,5,2,3
"BHR",1990,4,3,3
"BHS",1990,4,3,0
"BLZ",1990,NA,NA,NA
"BOL",1990,1,0,2
"BRA",1990,4,3,4
"BRB",1990,NA,NA,NA
"BRD",1990,6,4,5
"BRN",1990,4,3.5,5
"BTN",1990,NA,NA,NA
"BWA",1990,5,3,5
"CAF",1990,NA,NA,NA
"CAN",1990,6,4,6
"CHE",1990,6,4,6
"CHL",1990,4,2,3
"CHN",1990,3,2,4
"CIV",1990,2.58333333333333,3,3
"CMR",1990,3,3,3
"COD",1990,1,1,0
"COG",1990,2,1,3
"COL",1990,1,3,3
"COM",1990,NA,NA,NA
"CPV",1990,NA,NA,NA
"CRI",1990,4,2,5
"CUB",1990,5,2,2.91666666666667
"CYP",1990,3.91666666666667,3,3
"CZE",1990,5,2.58333333333333,4.75
"DDR",1990,5,2,5.55555555555556
"DEU",1990,NA,NA,NA
"DJI",1990,NA,NA,NA
"DMA",1990,NA,NA,NA
"DNK",1990,6,4,6
"DOM",1990,3,2,3
"DZA",1990,2.16666666666667,3,3.91666666666667
"ECU",1990,4,2,3
"EGY",1990,2,2,2
"ESP",1990,4,3,4
"ETH",1990,2,0,3
"FIN",1990,6,4,6
"FJI",1990,NA,NA,NA
"FRA",1990,5,4,5
"GAB",1990,2,3,2
"GBR",1990,5,4,5
"GHA",1990,3,2.75,4
"GIN",1990,3,1,4
"GMB",1990,3,1,3
"GNB",1990,1,1,2
"GNQ",1990,NA,NA,NA
"GRC",1990,3.16666666666667,2.16666666666667,5
"GRD",1990,NA,NA,NA
"GTM",1990,1,0,2
"GUY",1990,1,0,1
"HND",1990,2,1,2
"HTI",1990,1,0,1
"HUN",1990,5,3,4.75
"IDN",1990,2,0,0.333333333333333
"IND",1990,1.08333333333333,3,2
"IRL",1990,5,3.5,5
"IRN",1990,1,1,3
"IRQ",1990,1.58333333333333,1,2
"ISL",1990,6,4,6
"ISR",1990,1,3.5,5
"ITA",1990,5,3,4
"JAM",1990,2,2,2
"JOR",1990,2,2,3
"JPN",1990,5,4,5
"KEN",1990,3,3,3
"KHM",1990,NA,NA,NA
"KNA",1990,NA,NA,NA
"KOR",1990,2,3,2
"KWT",1990,1.75,2,3
"LAO",1990,NA,NA,NA
"LBN",1990,1,0,1
"LBR",1990,1.58333333333333,0,0
"LBY",1990,2,1,3
"LCA",1990,NA,NA,NA
"LIE",1990,NA,NA,NA
"LKA",1990,0,2,3
"LSO",1990,NA,NA,NA
"LUX",1990,6,4,6
"MAR",1990,2,2,3
"MCO",1990,NA,NA,NA
"MDG",1990,3.41666666666667,2,4
"MDV",1990,NA,NA,NA
"MEX",1990,3,2,3
"MLI",1990,2,0,2
"MLT",1990,2,2,3
"MMR",1990,2,0,2
"MNG",1990,2.5,1.41666666666667,4
"MOZ",1990,2,2,4
"MRT",1990,NA,NA,NA
"MUS",1990,NA,NA,NA
"MWI",1990,2,1,4
"MYS",1990,3,2,4
"NAM",1990,2,2,3
"NCL",1990,1,3,2
"NER",1990,3.16666666666667,3,3.58333333333333
"NGA",1990,1,2,2
"NIC",1990,2,1,5
"NLD",1990,6,4,6
"NOR",1990,6,3.5,6
"NPL",1990,NA,NA,NA
"NZL",1990,6,4,6
"OMN",1990,4,2,3
"PAK",1990,1.08333333333333,2,2
"PAN",1990,2,0,2
"PER",1990,1,1,3
"PHL",1990,1,0,2
"PNG",1990,3.08333333333333,3,3
"POL",1990,4,2.33333333333333,4.91666666666667
"PRK",1990,2,2,5
"PRT",1990,5,2.16666666666667,5
"PRY",1990,2,0,0
"QAT",1990,3,1,2
"ROU",1990,2.91666666666667,0.75,3.5
"RWA",1990,NA,NA,NA
"SAU",1990,3.58333333333333,3,2
"SDN",1990,1,0,2
"SEN",1990,2,2,3
"SGP",1990,5,3.5,4
"SLB",1990,NA,NA,NA
"SLE",1990,3,2,2
"SLV",1990,1,0,2
"SMR",1990,NA,NA,NA
"SOM",1990,2.08333333333333,0,4
"SOV",1990,3.58333333333333,3,4
"STP",1990,NA,NA,NA
"SUR",1990,1,1,3
"SWE",1990,6,4,6
"SWZ",1990,NA,NA,NA
"SYC",1990,NA,NA,NA
"SYR",1990,2,1,2
"TCD",1990,NA,NA,NA
"TGO",1990,2,1,2
"THA",1990,4,3.5,3
"TTO",1990,4,2,3
"TUN",1990,2,2,3
"TUR",1990,2,2,2
"TWN",1990,5,3,4
"TZA",1990,4,0,4
"UGA",1990,1,0,3
"URY",1990,3,1,3
"USA",1990,6,4,5
"VCT",1990,NA,NA,NA
"VEN",1990,4,2,3
"VNM",1990,3.08333333333333,1,2.91666666666667
"VUT",1990,NA,NA,NA
"WSM",1990,NA,NA,NA
"YAR",1990,NA,NA,NA
"YEM",1990,3,2,3
"YPR",1990,NA,NA,NA
"YUG",1990,2,1.75,3
"ZAF",1990,1.25,4,5
"ZMB",1990,1.5,1,2
"ZWE",1990,2,2,3
"AFG",1991,NA,NA,NA
"AGO",1991,1,2,3
"ALB",1991,2.83333333333333,1,4
"AND",1991,NA,NA,NA
"ARE",1991,3,2,3
"ARG",1991,3,2,4
"ARM",1991,NA,NA,NA
"ATG",1991,NA,NA,NA
"AUS",1991,6,4,5
"AUT",1991,6,4,5
"AZE",1991,NA,NA,NA
"BDI",1991,NA,NA,NA
"BEL",1991,6,4,5
"BEN",1991,NA,NA,NA
"BFA",1991,2.58333333333333,1,4
"BGD",1991,1,0,1
"BGR",1991,5,2,3.08333333333333
"BHR",1991,4,3,3.83333333333333
"BHS",1991,4,3,0
"BLR",1991,NA,NA,NA
"BLZ",1991,NA,NA,NA
"BOL",1991,1,0,2
"BRA",1991,4,3,4
"BRB",1991,NA,NA,NA
"BRN",1991,4,3.45833333333333,5
"BTN",1991,NA,NA,NA
"BWA",1991,5,3,5
"CAF",1991,NA,NA,NA
"CAN",1991,6,4,6
"CHE",1991,6,4,6
"CHL",1991,4,2,3
"CHN",1991,3,2,4
"CIV",1991,3,3,3.83333333333333
"CMR",1991,2.66666666666667,3,3
"COD",1991,0.916666666666667,1,0
"COG",1991,2,1,3
"COL",1991,1,3,3
"COM",1991,NA,NA,NA
"CPV",1991,NA,NA,NA
"CRI",1991,4,2,5
"CUB",1991,5,2,3
"CYP",1991,4,3,3.58333333333333
"CZE",1991,5,3,5
"DEU",1991,6,4,5
"DJI",1991,NA,NA,NA
"DMA",1991,NA,NA,NA
"DNK",1991,6,4,6
"DOM",1991,3,2,3
"DZA",1991,1.41666666666667,2.25,4
"ECU",1991,4,2,3
"EGY",1991,2,2,2
"ESP",1991,4.08333333333333,3,4.08333333333333
"EST",1991,NA,NA,NA
"ETH",1991,0.833333333333333,0,2.83333333333333
"FIN",1991,6,4,6
"FJI",1991,NA,NA,NA
"FRA",1991,5,4,5.66666666666667
"FSM",1991,NA,NA,NA
"GAB",1991,2.66666666666667,3,1.33333333333333
"GBR",1991,5,4,5
"GEO",1991,NA,NA,NA
"GHA",1991,3,3,3.5
"GIN",1991,3,1,4
"GMB",1991,3,1,3
"GNB",1991,1,1,2
"GNQ",1991,NA,NA,NA
"GRC",1991,4,3,5
"GRD",1991,NA,NA,NA
"GTM",1991,1,0,2
"GUY",1991,1,0,1
"HND",1991,2,1,2
"HTI",1991,1,0,1
"HUN",1991,5,3,5
"IDN",1991,2.58333333333333,0,2
"IND",1991,1.33333333333333,3,2
"IRL",1991,5,3.875,5
"IRN",1991,2.33333333333333,1,2.83333333333333
"IRQ",1991,1,0.0833333333333333,1.16666666666667
"ISL",1991,6,4,6
"ISR",1991,2.33333333333333,3.5,5
"ITA",1991,5,3.375,4
"JAM",1991,2,2,2
"JOR",1991,2.66666666666667,2,3
"JPN",1991,5,4,5
"KAZ",1991,NA,NA,NA
"KEN",1991,3,3,3
"KGZ",1991,NA,NA,NA
"KHM",1991,NA,NA,NA
"KNA",1991,NA,NA,NA
"KOR",1991,2.75,3.125,2.75
"KWT",1991,1.83333333333333,0.583333333333333,2
"LAO",1991,NA,NA,NA
"LBN",1991,1.5,0.5,1.33333333333333
"LBR",1991,1,0,0
"LBY",1991,2,1,3
"LCA",1991,NA,NA,NA
"LIE",1991,NA,NA,NA
"LKA",1991,0,2,3
"LSO",1991,NA,NA,NA
"LTU",1991,NA,NA,NA
"LUX",1991,6,4,6
"LVA",1991,NA,NA,NA
"MAR",1991,2,2,3
"MCO",1991,NA,NA,NA
"MDA",1991,NA,NA,NA
"MDG",1991,2.66666666666667,2,4
"MDV",1991,NA,NA,NA
"MEX",1991,3,2,3
"MHL",1991,NA,NA,NA
"MLI",1991,2,0,1.75
"MLT",1991,2.83333333333333,2,3.83333333333333
"MMR",1991,2,0,2
"MNG",1991,3,2,4
"MOZ",1991,1.16666666666667,2.91666666666667,4
"MRT",1991,NA,NA,NA
"MUS",1991,NA,NA,NA
"MWI",1991,2,1,3.5
"MYS",1991,3,2,4
"NAM",1991,2,2.66666666666667,3.75
"NCL",1991,1,3,2
"NER",1991,2,2.5,3
"NGA",1991,1.91666666666667,2,2
"NIC",1991,2,1,5
"NLD",1991,6,4,6
"NOR",1991,6,3.5,6
"NPL",1991,NA,NA,NA
"NZL",1991,6,4,6
"OMN",1991,4,2,3
"PAK",1991,1,2,2
"PAN",1991,2,0,2
"PER",1991,1,1,3
"PHL",1991,1,0,2
"PNG",1991,3,3,3
"POL",1991,4,3,5
"PRK",1991,2,1.75,4.5
"PRT",1991,5,3,5
"PRY",1991,2,0.333333333333333,1
"QAT",1991,3,1,2
"ROU",1991,3,1,4
"RUS",1991,NA,NA,NA
"RWA",1991,NA,NA,NA
"SAU",1991,3,3,2
"SDN",1991,1,0,2
"SEN",1991,2,2,3
"SGP",1991,5,3.5,4
"SLB",1991,NA,NA,NA
"SLE",1991,2.5,1.08333333333333,1.75
"SLV",1991,1,0,2
"SMR",1991,NA,NA,NA
"SOM",1991,1.41666666666667,0,4
"SOV",1991,4,2.66666666666667,4
"STP",1991,NA,NA,NA
"SUR",1991,1,1,3
"SWE",1991,6,4,6
"SWZ",1991,NA,NA,NA
"SYC",1991,NA,NA,NA
"SYR",1991,2.83333333333333,1,2
"TCD",1991,NA,NA,NA
"TGO",1991,2,1,2
"THA",1991,4,3.5,3
"TJK",1991,NA,NA,NA
"TKM",1991,NA,NA,NA
"TTO",1991,4,2,3
"TUN",1991,2,2,3
"TUR",1991,2.08333333333333,2,2.41666666666667
"TWN",1991,5,3.08333333333333,4
"TZA",1991,4,0.25,4
"UGA",1991,1,0.25,3
"UKR",1991,NA,NA,NA
"URY",1991,3,1,3
"USA",1991,6,4,5
"UZB",1991,NA,NA,NA
"VCT",1991,NA,NA,NA
"VEN",1991,4,2,3
"VNM",1991,3,1,3
"VUT",1991,NA,NA,NA
"WSM",1991,NA,NA,NA
"YEM",1991,3,2,3
"YUG",1991,1.58333333333333,2,3
"ZAF",1991,1,4,5
"ZMB",1991,1,1,2
"ZWE",1991,2,2,3
"AFG",1992,NA,NA,NA
"AGO",1992,1.25,1.25,3
"ALB",1992,2.08333333333333,1,3.25
"AND",1992,NA,NA,NA
"ARE",1992,4,2,2
"ARG",1992,3.08333333333333,2,4
"ARM",1992,NA,NA,NA
"ATG",1992,NA,NA,NA
"AUS",1992,6,4,5
"AUT",1992,6,4,5
"AZE",1992,NA,NA,NA
"BDI",1992,NA,NA,NA
"BEL",1992,6,4,5
"BEN",1992,NA,NA,NA
"BFA",1992,3,1,3
"BGD",1992,1,0,1.33333333333333
"BGR",1992,5,2,4.66666666666667
"BHR",1992,5,3,4
"BHS",1992,4,3,0.0833333333333333
"BIH",1992,NA,NA,NA
"BLR",1992,NA,NA,NA
"BLZ",1992,NA,NA,NA
"BOL",1992,1.75,0,2
"BRA",1992,4,3,3.75
"BRB",1992,NA,NA,NA
"BRN",1992,4,3.5,5
"BTN",1992,NA,NA,NA
"BWA",1992,5,2.25,3.5
"CAF",1992,NA,NA,NA
"CAN",1992,6,4,6
"CHE",1992,6,4,6
"CHL",1992,4,2,3
"CHN",1992,4.16666666666667,2,4.5
"CIV",1992,3,3,4
"CMR",1992,2,3,3
"COD",1992,0,1,0
"COG",1992,2,1,3
"COL",1992,1,3,3
"COM",1992,NA,NA,NA
"CPV",1992,NA,NA,NA
"CRI",1992,4,2,5
"CUB",1992,5,2,3
"CYP",1992,5,3.25,4.5
"CZE",1992,5,3,5
"DEU",1992,5.66666666666667,4,5.66666666666667
"DJI",1992,NA,NA,NA
"DMA",1992,NA,NA,NA
"DNK",1992,6,4,6
"DOM",1992,3,2,3
"DZA",1992,1.41666666666667,1,3.5
"ECU",1992,4,2,3
"EGY",1992,2.5,2,3.08333333333333
"ESP",1992,6,3,5
"EST",1992,NA,NA,NA
"ETH",1992,0,0,1.75
"FIN",1992,6,4,6
"FJI",1992,NA,NA,NA
"FRA",1992,6,4,6
"FSM",1992,NA,NA,NA
"GAB",1992,3,3,1
"GBR",1992,6,4,5
"GEO",1992,NA,NA,NA
"GHA",1992,3,3,3
"GIN",1992,3,1,4
"GMB",1992,3,2,3
"GNB",1992,1,1,2
"GNQ",1992,NA,NA,NA
"GRC",1992,4.66666666666667,3,5
"GRD",1992,NA,NA,NA
"GTM",1992,1.83333333333333,0,2
"GUY",1992,1.16666666666667,0.25,1
"HND",1992,2.83333333333333,1,2
"HRV",1992,NA,NA,NA
"HTI",1992,1,0,1
"HUN",1992,5,3,5
"IDN",1992,3.58333333333333,1.25,2.66666666666667
"IND",1992,3,3,2
"IRL",1992,5,4,5
"IRN",1992,3,2,2.41666666666667
"IRQ",1992,1,0,1
"ISL",1992,6,4,6
"ISR",1992,5,3.5,5
"ITA",1992,5,3.5,4
"JAM",1992,2.08333333333333,2,2
"JOR",1992,4,2,4
"JPN",1992,5.5,4,5
"KAZ",1992,NA,NA,NA
"KEN",1992,3,3,3
"KGZ",1992,NA,NA,NA
"KHM",1992,NA,NA,NA
"KNA",1992,NA,NA,NA
"KOR",1992,5,3.5,5
"KWT",1992,3.41666666666667,1.58333333333333,2.58333333333333
"LAO",1992,NA,NA,NA
"LBN",1992,2,1,2
"LBR",1992,1,0,0
"LBY",1992,5,2,4
"LCA",1992,NA,NA,NA
"LIE",1992,NA,NA,NA
"LKA",1992,0.416666666666667,2,3
"LSO",1992,NA,NA,NA
"LTU",1992,NA,NA,NA
"LUX",1992,6,4,6
"LVA",1992,NA,NA,NA
"MAR",1992,4,2,3
"MCO",1992,NA,NA,NA
"MDA",1992,NA,NA,NA
"MDG",1992,2,1,4
"MDV",1992,NA,NA,NA
"MEX",1992,3,2,3
"MHL",1992,NA,NA,NA
"MKD",1992,NA,NA,NA
"MLI",1992,2,0,1
"MLT",1992,5,2,4
"MMR",1992,2,0,2
"MNG",1992,3,2,4
"MOZ",1992,1,2,4
"MRT",1992,NA,NA,NA
"MUS",1992,NA,NA,NA
"MWI",1992,2,1,3
"MYS",1992,3,2,4
"NAM",1992,4,3.5,4
"NCL",1992,1,3,2
"NER",1992,2,1,3
"NGA",1992,3,2,2
"NIC",1992,2,1,5
"NLD",1992,6,4,6
"NOR",1992,6,3.5,6
"NPL",1992,NA,NA,NA
"NZL",1992,6,4,6
"OMN",1992,4,3,3
"PAK",1992,1.25,2,2
"PAN",1992,2,0,2
"PER",1992,1.33333333333333,1,3
"PHL",1992,2,0.416666666666667,2.5
"PNG",1992,3,3,3
"POL",1992,5.66666666666667,3,5
"PRK",1992,2,1,3
"PRT",1992,5,3,5
"PRY",1992,4,1.83333333333333,3
"QAT",1992,3,2,2
"ROU",1992,3.66666666666667,1,4
"RUS",1992,3.58333333333333,2,3.91666666666667
"RWA",1992,NA,NA,NA
"SAU",1992,4.41666666666667,2,2
"SDN",1992,3,1,2
"SEN",1992,2,2,3
"SGP",1992,5,3.5,4
"SLB",1992,NA,NA,NA
"SLE",1992,2,0.166666666666667,1
"SLV",1992,1.25,0,2.16666666666667
"SMR",1992,NA,NA,NA
"SOM",1992,0.916666666666667,0,1.58333333333333
"SRB",1992,NA,NA,NA
"STP",1992,NA,NA,NA
"SUR",1992,1,1,3
"SVN",1992,NA,NA,NA
"SWE",1992,6,4,6
"SWZ",1992,NA,NA,NA
"SYC",1992,NA,NA,NA
"SYR",1992,3,2,3
"TCD",1992,NA,NA,NA
"TGO",1992,2,1,2
"THA",1992,4.41666666666667,3.5,3
"TJK",1992,NA,NA,NA
"TKM",1992,NA,NA,NA
"TTO",1992,4,2,3
"TUN",1992,4,2,3
"TUR",1992,4.16666666666667,3,4
"TWN",1992,5,3.5,4
"TZA",1992,4,1,4
"UGA",1992,1.41666666666667,1,3
"UKR",1992,NA,NA,NA
"URY",1992,3,1,3
"USA",1992,6,4,5
"UZB",1992,NA,NA,NA
"VCT",1992,NA,NA,NA
"VEN",1992,4,2,3
"VNM",1992,2.91666666666667,1,3
"VUT",1992,NA,NA,NA
"WSM",1992,NA,NA,NA
"YEM",1992,2.58333333333333,2,3
"YUG",1992,0,2,3
"ZAF",1992,2,4,5
"ZMB",1992,3,1,4
"ZWE",1992,3,3,4
"AFG",1993,NA,NA,NA
"AGO",1993,1,1,3
"ALB",1993,3.33333333333333,1,4
"AND",1993,NA,NA,NA
"ARE",1993,4,2,2
"ARG",1993,4,2,3.25
"ARM",1993,NA,NA,NA
"ATG",1993,NA,NA,NA
"AUS",1993,6,4,5
"AUT",1993,6,4,5
"AZE",1993,NA,NA,NA
"BDI",1993,NA,NA,NA
"BEL",1993,6,4,5
"BEN",1993,NA,NA,NA
"BFA",1993,3.33333333333333,1,3
"BGD",1993,2.08333333333333,1,2
"BGR",1993,5,2,5
"BHR",1993,5.75,3,4
"BHS",1993,4,3,3.25
"BIH",1993,NA,NA,NA
"BLR",1993,NA,NA,NA
"BLZ",1993,NA,NA,NA
"BOL",1993,2,0.5,2
"BRA",1993,3.75,3,4
"BRB",1993,NA,NA,NA
"BRN",1993,4,3.5,5
"BTN",1993,NA,NA,NA
"BWA",1993,5,2,3
"CAF",1993,NA,NA,NA
"CAN",1993,6,4,6
"CHE",1993,6,4,6
"CHL",1993,4,2,3
"CHN",1993,5,2,4.5
"CIV",1993,3,3,4
"CMR",1993,2,3,3
"COD",1993,0.75,1,0
"COG",1993,2,1,3
"COL",1993,1,3,3
"COM",1993,NA,NA,NA
"CPV",1993,NA,NA,NA
"CRI",1993,4,2,5
"CUB",1993,5,2,3
"CYP",1993,5,3.5,5
"CZE",1993,5,3,4.66666666666667
"DEU",1993,5,4,6
"DJI",1993,NA,NA,NA
"DMA",1993,NA,NA,NA
"DNK",1993,6,4,6
"DOM",1993,3.5,2,3
"DZA",1993,2,1,3
"ECU",1993,4,2,3
"EGY",1993,2.91666666666667,2,4
"ERI",1993,NA,NA,NA
"ESP",1993,6,3,5
"EST",1993,NA,NA,NA
"ETH",1993,2,0,2
"FIN",1993,6,4,6
"FJI",1993,NA,NA,NA
"FRA",1993,6,4,6
"FSM",1993,NA,NA,NA
"GAB",1993,4,3,1
"GBR",1993,6,4,5
"GEO",1993,NA,NA,NA
"GHA",1993,3,3,3
"GIN",1993,3,1,4
"GMB",1993,4,2,3
"GNB",1993,1,1,2
"GNQ",1993,NA,NA,NA
"GRC",1993,5,3,5
"GRD",1993,NA,NA,NA
"GTM",1993,2.5,0,2
"GUY",1993,2,1,1.08333333333333
"HND",1993,3,1,2
"HRV",1993,NA,NA,NA
"HTI",1993,1.5,0,1
"HUN",1993,5,3,5
"IDN",1993,4,2,3
"IND",1993,3.5,3,3
"IRL",1993,5,4,5
"IRN",1993,4.33333333333333,2,3.75
"IRQ",1993,1.91666666666667,0,1
"ISL",1993,6,4,6
"ISR",1993,5,3.5,5
"ITA",1993,5,3.5,3.16666666666667
"JAM",1993,3,2,2.66666666666667
"JOR",1993,4.08333333333333,2,4
"JPN",1993,6,4,5
"KAZ",1993,NA,NA,NA
"KEN",1993,3,3,3
"KGZ",1993,NA,NA,NA
"KHM",1993,NA,NA,NA
"KNA",1993,NA,NA,NA
"KOR",1993,5,3.5,5
"KWT",1993,4,2,3
"LAO",1993,NA,NA,NA
"LBN",1993,3.66666666666667,1,2.58333333333333
"LBR",1993,0.75,0,0
"LBY",1993,5,2,4
"LCA",1993,NA,NA,NA
"LIE",1993,NA,NA,NA
"LKA",1993,2.33333333333333,2,3
"LSO",1993,NA,NA,NA
"LTU",1993,NA,NA,NA
"LUX",1993,6,4,6
"LVA",1993,NA,NA,NA
"MAR",1993,4.58333333333333,2,3
"MCO",1993,NA,NA,NA
"MDA",1993,NA,NA,NA
"MDG",1993,2,1,4
"MDV",1993,NA,NA,NA
"MEX",1993,3,2,3
"MHL",1993,NA,NA,NA
"MKD",1993,NA,NA,NA
"MLI",1993,3,0,3
"MLT",1993,5,2,4
"MMR",1993,4,1,2
"MNG",1993,3.5,2,4
"MOZ",1993,1.66666666666667,2,4
"MRT",1993,NA,NA,NA
"MUS",1993,NA,NA,NA
"MWI",1993,2.25,1,3
"MYS",1993,3.83333333333333,2,4
"NAM",1993,5,3.5,5
"NCL",1993,2,3,2
"NER",1993,2,1,3
"NGA",1993,3,2,2
"NIC",1993,3,1,5
"NLD",1993,6,4,6
"NOR",1993,6,3.5,6
"NPL",1993,NA,NA,NA
"NZL",1993,6,4,6
"OMN",1993,4,3,3
"PAK",1993,2,2,2
"PAN",1993,2.75,0,2
"PER",1993,2.5,1,3
"PHL",1993,3.33333333333333,1,3
"PNG",1993,3,3,3
"POL",1993,6,3,5
"PRK",1993,2.75,1,3
"PRT",1993,5,3,5
"PRY",1993,4,2,2.16666666666667
"QAT",1993,3.5,2,2
"ROU",1993,4.75,1,4
"RUS",1993,3,2,3.16666666666667
"RWA",1993,NA,NA,NA
"SAU",1993,5,2,2
"SDN",1993,2.66666666666667,1,2
"SEN",1993,2,2,3
"SGP",1993,5,3.5,4
"SLB",1993,NA,NA,NA
"SLE",1993,2,0,1
"SLV",1993,3.16666666666667,0,3
"SMR",1993,NA,NA,NA
"SOM",1993,0,0,1
"SRB",1993,NA,NA,NA
"STP",1993,NA,NA,NA
"SUR",1993,1.33333333333333,1,3
"SVK",1993,5.66666666666667,3,4.66666666666667
"SVN",1993,NA,NA,NA
"SWE",1993,6,4,6
"SWZ",1993,NA,NA,NA
"SYC",1993,NA,NA,NA
"SYR",1993,4,2,4
"TCD",1993,NA,NA,NA
"TGO",1993,2,1,2
"THA",1993,5,3.5,3
"TJK",1993,NA,NA,NA
"TKM",1993,NA,NA,NA
"TTO",1993,4,2,3
"TUN",1993,4,2,3
"TUR",1993,4,3,4
"TWN",1993,5,3.5,4
"TZA",1993,4,1,4
"UGA",1993,3.25,1,3
"UKR",1993,NA,NA,NA
"URY",1993,3,1,3
"USA",1993,6,4,5
"UZB",1993,NA,NA,NA
"VCT",1993,NA,NA,NA
"VEN",1993,4,2,3
"VNM",1993,3.66666666666667,1,3
"VUT",1993,NA,NA,NA
"WSM",1993,NA,NA,NA
"YEM",1993,2,2,3
"YUG",1993,0.666666666666667,2,3
"ZAF",1993,2.5,4,5
"ZMB",1993,3,1,4
"ZWE",1993,3.66666666666667,3,4
"AFG",1994,NA,NA,NA
"AGO",1994,1.41666666666667,1,3
"ALB",1994,4.66666666666667,1,4
"AND",1994,NA,NA,NA
"ARE",1994,4,2,2
"ARG",1994,4.75,2,3
"ARM",1994,NA,NA,NA
"ATG",1994,NA,NA,NA
"AUS",1994,6,4,5
"AUT",1994,6,4,5
"AZE",1994,NA,NA,NA
"BDI",1994,NA,NA,NA
"BEL",1994,6,4,5
"BEN",1994,NA,NA,NA
"BFA",1994,4,1,3
"BGD",1994,3,1,2
"BGR",1994,5,2,4.25
"BHR",1994,6,3,4
"BHS",1994,4,3,4
"BIH",1994,NA,NA,NA
"BLR",1994,NA,NA,NA
"BLZ",1994,NA,NA,NA
"BOL",1994,2.16666666666667,1,2.91666666666667
"BRA",1994,3,3,3.08333333333333
"BRB",1994,NA,NA,NA
"BRN",1994,4.83333333333333,3.5,4.16666666666667
"BTN",1994,NA,NA,NA
"BWA",1994,5,2,3
"CAF",1994,NA,NA,NA
"CAN",1994,6,4,6
"CHE",1994,6,4,6
