"iso3c","year","v2x_polyarchy","v2x_libdem","v2x_delibdem","v2x_partipdem","v2x_egaldem","vdem.hl","vdem.hl.sq"
"MEX",2015,0.636,0.43,0.496,0.397,0.334,1.15239240222136,1.32800824869751
"MEX",2016,0.638,0.431,0.496,0.396,0.334,1.15508093602808,1.3342119687755
"MEX",2017,0.636,0.443,0.488,0.408,0.333,1.18129950310202,1.39546851602908
"MEX",2018,0.673,0.45,0.474,0.427,0.368,1.329794313026,1.76835291495629
"MEX",2019,0.675,0.434,0.421,0.412,0.394,1.23504869695034,1.52534528383874
"SUR",1975,0.369,0.34,0.311,0.196,0.257,-0.272500247687765,0.074256384989893
"SUR",1976,0.726,0.616,0.552,0.376,0.504,1.95047918224757,3.80436904038114
"SUR",1977,0.727,0.612,0.552,0.376,0.505,1.94733931564535,3.79213041025811
"SUR",1978,0.735,0.623,0.558,0.378,0.51,2.00080067981629,4.00320336035333
"SUR",1979,0.735,0.623,0.558,0.378,0.516,2.01158752449615,4.04648436870856
"SUR",1980,0.218,0.175,0.073,0.13,0.213,-1.38626211915954,1.92172266301671
"SUR",1981,0.172,0.144,0.05,0.113,0.194,-1.61609009339015,2.61174718995378
"SUR",1982,0.165,0.143,0.049,0.111,0.192,-1.63807190321971,2.68327956011785
"SUR",1983,0.16,0.141,0.048,0.11,0.19,-1.65647559793755,2.74391140656256
"SUR",1984,0.16,0.141,0.074,0.11,0.19,-1.61353072674415,2.6034814061475
"SUR",1985,0.17,0.186,0.076,0.112,0.19,-1.51724512024074,2.30203275489433
"SUR",1986,0.171,0.186,0.1,0.116,0.19,-1.4677535395595,2.15430045288945
"SUR",1987,0.192,0.226,0.117,0.188,0.198,-1.17824549152989,1.3882624383105
"SUR",1988,0.618,0.476,0.491,0.408,0.436,1.39688970171608,1.95130083876045
"SUR",1989,0.729,0.578,0.576,0.493,0.515,2.19509761825528,4.81845355367001
"SUR",1990,0.736,0.554,0.586,0.503,0.524,2.22044450858406,4.93037381570112
"SUR",1991,0.452,0.376,0.384,0.331,0.351,0.485209715851659,0.235428468356848
"SUR",1992,0.759,0.631,0.614,0.516,0.549,2.49980109360302,6.24900550757883
"SUR",1993,0.76,0.642,0.614,0.513,0.554,2.52203109366528,6.36064083741447
"SUR",1994,0.76,0.645,0.614,0.509,0.554,2.51862584698565,6.34347615710417
"SUR",1995,0.76,0.645,0.614,0.507,0.554,2.5144840975414,6.32263027678861
"SUR",1996,0.768,0.655,0.622,0.513,0.568,2.59408659518126,6.72928526329912
"SUR",1997,0.771,0.657,0.624,0.513,0.57,2.60893781653289,6.80655653053538
"SUR",1998,0.771,0.657,0.624,0.511,0.57,2.60479606708864,6.78496255112047
"SUR",1999,0.771,0.657,0.624,0.509,0.57,2.6006543176444,6.76340287988247
"SUR",2000,0.783,0.667,0.633,0.512,0.58,2.6747713360649,7.15440170023443
"SUR",2001,0.781,0.668,0.631,0.509,0.58,2.66374801987867,7.09555351340755
"SUR",2002,0.781,0.668,0.631,0.506,0.58,2.65753539571231,7.06249437946379
"SUR",2003,0.781,0.668,0.631,0.504,0.58,2.65339364626807,7.04049784205576
"SUR",2004,0.781,0.668,0.631,0.501,0.58,2.64718102210171,7.00756736377545
"SUR",2005,0.772,0.66,0.624,0.493,0.573,2.57935865886887,6.65309109108181
"SUR",2006,0.766,0.655,0.62,0.491,0.568,2.54209057520512,6.46222449254671
"SUR",2007,0.768,0.656,0.62,0.492,0.571,2.55431428079602,6.52452144507848
"SUR",2008,0.768,0.655,0.618,0.489,0.569,2.53957650603649,6.4494488300125
"SUR",2009,0.768,0.655,0.618,0.489,0.569,2.53957650603649,6.4494488300125
"SUR",2010,0.761,0.64,0.619,0.485,0.566,2.49219341397166,6.21102801264371
"SUR",2011,0.753,0.634,0.614,0.481,0.568,2.4569570986462,6.03663818458798
"SUR",2012,0.753,0.628,0.614,0.481,0.568,2.4472005942285,5.98879074839233
"SUR",2013,0.756,0.632,0.621,0.475,0.565,2.45214832722907,6.01303141873231
"SUR",2014,0.756,0.632,0.612,0.475,0.563,2.4336871799996,5.92283329009442
"SUR",2015,0.759,0.635,0.616,0.477,0.567,2.46120530138863,6.05753153558351
"SUR",2016,0.765,0.628,0.613,0.484,0.566,2.46696582444179,6.08592037896378
"SUR",2017,0.756,0.627,0.615,0.475,0.553,2.41253386263047,5.82031963833869
"SUR",2018,0.751,0.61,0.616,0.473,0.552,2.37276929122316,5.63003410937164
"SUR",2019,0.742,0.58,0.604,0.467,0.54,2.2560671615941,5.08983903762327
"SWE",1946,0.759,0.705,0.68,0.537,0.601,2.86611957494335,8.21464141787347
"SWE",1947,0.759,0.705,0.693,0.537,0.601,2.88759201054005,8.33818761933475
"SWE",1948,0.759,0.705,0.693,0.537,0.601,2.88759201054005,8.33818761933475
"SWE",1949,0.764,0.709,0.696,0.541,0.605,2.92235956408704,8.54018542181097
"SWE",1950,0.77,0.717,0.707,0.545,0.64,3.03414395350911,9.20602953061588
"SWE",1951,0.77,0.716,0.711,0.545,0.64,3.03912477270001,9.23627938403892
"SWE",1952,0.771,0.719,0.715,0.546,0.642,3.05784308001441,9.35040430199202
"SWE",1953,0.775,0.723,0.72,0.549,0.646,3.09227654823992,9.56217425079461
"SWE",1954,0.775,0.723,0.72,0.549,0.646,3.09227654823992,9.56217425079461
"SWE",1955,0.775,0.723,0.72,0.575,0.653,3.15870394314157,9.97741060041808
"SWE",1956,0.775,0.723,0.72,0.575,0.653,3.15870394314157,9.97741060041808
"SWE",1957,0.774,0.722,0.719,0.574,0.652,3.14999078885844,9.92244196989302
"SWE",1958,0.773,0.722,0.719,0.574,0.652,3.14842412662883,9.9125744811385
"SWE",1959,0.773,0.722,0.718,0.574,0.653,3.14857020826034,9.91349435634457
"SWE",1960,0.778,0.728,0.726,0.578,0.682,3.23979374518831,10.4962635113613
"SWE",1961,0.778,0.729,0.726,0.578,0.683,3.24321763670457,10.5184606390316
"SWE",1962,0.778,0.729,0.726,0.576,0.699,3.26784080640663,10.6787835360164
"SWE",1963,0.778,0.729,0.726,0.574,0.699,3.26369905696239,10.6517315344172
"SWE",1964,0.778,0.729,0.726,0.573,0.699,3.26162818224027,10.638218399184
"SWE",1965,0.779,0.73,0.727,0.572,0.701,3.2679973945258,10.6798069706274
"SWE",1966,0.778,0.728,0.727,0.569,0.7,3.25516813254395,10.5961195711296
"SWE",1967,0.778,0.728,0.727,0.567,0.7,3.2510263830997,10.5691725436103
"SWE",1968,0.777,0.729,0.733,0.565,0.702,3.26045002527954,10.6305343673454
"SWE",1969,0.777,0.73,0.733,0.564,0.702,3.26000523462704,10.6276341297957
"SWE",1970,0.777,0.73,0.736,0.562,0.714,3.28239235198792,10.7740995523888
"SWE",1971,0.896,0.853,0.861,0.659,0.835,4.2937087738557,18.4359350346855
"SWE",1972,0.896,0.859,0.866,0.657,0.833,4.30398654301153,18.5243001624244
"SWE",1973,0.896,0.86,0.866,0.655,0.834,4.30326868508355,18.5181213760207
"SWE",1974,0.904,0.868,0.877,0.66,0.848,4.38250331730745,19.2063353262108
"SWE",1975,0.909,0.875,0.883,0.662,0.856,4.43015378085101,19.6262625219885
"SWE",1976,0.911,0.877,0.883,0.662,0.86,4.44373050323605,19.7467407853905
"SWE",1977,0.91,0.876,0.883,0.661,0.861,4.44026468966134,19.7159505142533
"SWE",1978,0.91,0.876,0.883,0.661,0.861,4.44026468966134,19.7159505142533
"SWE",1979,0.91,0.875,0.883,0.664,0.861,4.44485122975808,19.756702454682
"SWE",1980,0.91,0.875,0.883,0.694,0.87,4.5231577384415,20.4589559268232
"SWE",1981,0.91,0.875,0.882,0.694,0.87,4.52150601262637,20.4440166222164
"SWE",1982,0.91,0.876,0.881,0.694,0.87,4.52148037088085,20.4437847442609
"SWE",1983,0.909,0.876,0.88,0.694,0.869,4.51646417538947,20.3984486475765
"SWE",1984,0.909,0.876,0.88,0.694,0.869,4.51646417538947,20.3984486475765
"SWE",1985,0.911,0.879,0.883,0.693,0.872,4.53275347712075,20.5458540843502
"SWE",1986,0.91,0.877,0.882,0.691,0.872,4.52214117149253,20.4497607749078
"SWE",1987,0.91,0.877,0.882,0.689,0.872,4.51799942204829,20.4123187776287
"SWE",1988,0.911,0.878,0.883,0.687,0.873,4.52049995216505,20.4349198175242
"SWE",1989,0.913,0.88,0.886,0.686,0.877,4.53696097727336,20.5840149093012
"SWE",1990,0.915,0.882,0.887,0.686,0.88,4.55039161802688,20.7060638774093
"SWE",1991,0.914,0.882,0.888,0.677,0.878,4.52824319422002,20.504986426
"SWE",1992,0.913,0.881,0.886,0.67,0.877,4.50545306578904,20.2991073280279
"SWE",1993,0.913,0.88,0.886,0.672,0.877,4.50796873116367,20.3217820811494
"SWE",1994,0.913,0.88,0.883,0.69,0.877,4.54028929871645,20.6142269160391
"SWE",1995,0.914,0.881,0.886,0.692,0.876,4.55078116445867,20.7096092067918
"SWE",1996,0.914,0.881,0.885,0.692,0.876,4.54912943864354,20.6945786495333
"SWE",1997,0.914,0.881,0.885,0.692,0.876,4.54912943864354,20.6945786495333
"SWE",1998,0.914,0.881,0.885,0.692,0.872,4.54193820885696,20.6292026930748
"SWE",1999,0.914,0.88,0.883,0.688,0.871,4.52692736682196,20.4930713844816
"SWE",2000,0.914,0.88,0.883,0.686,0.871,4.52278561737771,20.4555897407587
"SWE",2001,0.914,0.88,0.883,0.684,0.871,4.51864386793347,20.4181424052128
"SWE",2002,0.914,0.881,0.884,0.683,0.871,4.5198508030961,20.4290512822485
"SWE",2003,0.915,0.882,0.885,0.689,0.872,4.53891833098983,20.6017796153955
"SWE",2004,0.915,0.882,0.885,0.689,0.872,4.53891833098983,20.6017796153955
"SWE",2005,0.915,0.882,0.882,0.689,0.872,4.53396315354444,20.5568218776986
"SWE",2006,0.915,0.882,0.877,0.689,0.872,4.52570452446878,20.4820014427972
"SWE",2007,0.916,0.883,0.877,0.688,0.872,4.52682639604589,20.4921572199378
"SWE",2008,0.916,0.883,0.877,0.685,0.87,4.51701815698624,20.4034530305434
"SWE",2009,0.916,0.883,0.877,0.681,0.869,4.50693685065111,20.312479775757
"SWE",2010,0.915,0.883,0.877,0.679,0.871,4.50482405387055,20.2934397563307
"SWE",2011,0.917,0.884,0.88,0.677,0.872,4.51219469784719,20.3599009912803
"SWE",2012,0.919,0.887,0.88,0.675,0.875,4.52145794741095,20.4435819702057
"SWE",2013,0.917,0.887,0.866,0.671,0.856,4.45275862116518,19.8270593383608
"SWE",2014,0.916,0.885,0.855,0.662,0.855,4.40933512688416,19.4422362611746
"SWE",2015,0.915,0.884,0.873,0.658,0.848,4.4150052942423,19.4922717481875
"SWE",2016,0.914,0.881,0.871,0.657,0.845,4.39779263111152,19.3405800262588
"SWE",2017,0.914,0.881,0.873,0.655,0.836,4.38077406627775,19.1911814197717
"SWE",2018,0.909,0.878,0.866,0.655,0.831,4.3475113849817,18.9008552425455
"SWE",2019,0.901,0.871,0.833,0.649,0.824,4.24407864629893,18.0122035559705
"CHE",1946,0.62,0.564,0.572,0.52,0.521,2.06165981716948,4.25044120173129
"CHE",1947,0.619,0.564,0.576,0.52,0.521,2.06670005820039,4.27124913056549
"CHE",1948,0.619,0.564,0.576,0.528,0.521,2.08326705597735,4.34000162652056
"CHE",1949,0.619,0.564,0.582,0.532,0.521,2.10146090975662,4.41613795523513
"CHE",1950,0.619,0.564,0.588,0.532,0.521,2.11137126464741,4.45788861717879
"CHE",1951,0.619,0.564,0.588,0.532,0.521,2.11137126464741,4.45788861717879
"CHE",1952,0.62,0.565,0.589,0.533,0.521,2.11828661148389,4.4871381683919
"CHE",1953,0.62,0.565,0.589,0.533,0.521,2.11828661148389,4.4871381683919
"CHE",1954,0.62,0.565,0.589,0.529,0.521,2.11000311259541,4.4521131351623
"CHE",1955,0.619,0.564,0.588,0.528,0.521,2.10308776575893,4.42297815048487
"CHE",1956,0.618,0.563,0.587,0.526,0.52,2.09230373675368,4.37773492683341
"CHE",1957,0.618,0.563,0.587,0.526,0.52,2.09230373675368,4.37773492683341
"CHE",1958,0.618,0.563,0.587,0.526,0.523,2.09769715909361,4.40033337126941
"CHE",1959,0.618,0.563,0.587,0.527,0.523,2.09976803381573,4.40902579583438
"CHE",1960,0.622,0.567,0.59,0.534,0.527,2.13918154929946,4.57609770086325
"CHE",1961,0.622,0.567,0.59,0.53,0.527,2.13089805041098,4.54072650124532
"CHE",1962,0.622,0.567,0.59,0.534,0.527,2.13918154929946,4.57609770086325
"CHE",1963,0.621,0.567,0.59,0.534,0.527,2.13761488706985,4.56939740542265
"CHE",1964,0.621,0.568,0.591,0.533,0.526,2.13702401478584,4.56687163977137
"CHE",1965,0.621,0.568,0.591,0.533,0.526,2.13702401478584,4.56687163977137
"CHE",1966,0.621,0.568,0.591,0.533,0.526,2.13702401478584,4.56687163977137
"CHE",1967,0.624,0.57,0.593,0.532,0.528,2.14980436141534,4.6216587923604
"CHE",1968,0.626,0.571,0.595,0.538,0.529,2.17209027735381,4.71797617297494
"CHE",1969,0.626,0.571,0.595,0.538,0.529,2.17209027735381,4.71797617297494
"CHE",1970,0.627,0.573,0.596,0.539,0.537,2.19501416783306,4.81808719698785
"CHE",1971,0.631,0.576,0.599,0.543,0.55,2.24276924210061,5.03001387331252
"CHE",1972,0.857,0.791,0.82,0.747,0.763,4.11686581555243,16.9485841432642
"CHE",1973,0.857,0.791,0.82,0.747,0.763,4.11686581555243,16.9485841432642
"CHE",1974,0.857,0.795,0.82,0.742,0.763,4.1130157782203,16.9168987918891
"CHE",1975,0.861,0.799,0.824,0.756,0.767,4.16857714257401,17.3770353935905
"CHE",1976,0.857,0.798,0.821,0.755,0.767,4.15365835741842,17.2528777501519
"CHE",1977,0.863,0.804,0.827,0.76,0.772,4.20206860094841,17.6573805270765
"CHE",1978,0.863,0.804,0.827,0.76,0.772,4.20206860094841,17.6573805270765
"CHE",1979,0.863,0.804,0.828,0.76,0.776,4.21091155655012,17.7317761370873
"CHE",1980,0.87,0.809,0.835,0.766,0.782,4.264782786224,18.1883722136725
"CHE",1981,0.87,0.812,0.835,0.766,0.782,4.26966103843285,18.2300053831115
"CHE",1982,0.87,0.812,0.835,0.772,0.782,4.28208628676557,18.3362629673058
"CHE",1983,0.871,0.812,0.836,0.773,0.783,4.28917335697908,18.3970080862192
"CHE",1984,0.873,0.816,0.839,0.774,0.785,4.30943268477757,18.5712100646293
"CHE",1985,0.873,0.816,0.839,0.774,0.785,4.30943268477757,18.5712100646293
"CHE",1986,0.873,0.816,0.839,0.774,0.785,4.30943268477757,18.5712100646293
"CHE",1987,0.873,0.815,0.838,0.774,0.784,4.30435706744618,18.5274897640739
"CHE",1988,0.872,0.814,0.837,0.774,0.783,4.29771478788518,18.4703523980069
"CHE",1989,0.873,0.816,0.839,0.775,0.784,4.30970575205305,18.5735636692792
"CHE",1990,0.886,0.83,0.852,0.787,0.808,4.44230784899426,19.734099025236
"CHE",1991,0.887,0.832,0.854,0.789,0.81,4.4581674953309,19.875257416425
"CHE",1992,0.886,0.828,0.85,0.788,0.808,4.43782310394688,19.6942739019247
"CHE",1993,0.886,0.833,0.85,0.788,0.808,4.44595352429497,19.7665027401909
"CHE",1994,0.886,0.833,0.85,0.788,0.808,4.44595352429497,19.7665027401909
"CHE",1995,0.886,0.833,0.851,0.788,0.809,4.44940305755674,19.7971875685953
"CHE",1996,0.89,0.837,0.855,0.792,0.813,4.48425567468925,20.1085489559827
"CHE",1997,0.89,0.837,0.855,0.792,0.813,4.48425567468925,20.1085489559827
"CHE",1998,0.89,0.837,0.855,0.792,0.818,4.49324471192246,20.1892480412192
"CHE",1999,0.889,0.837,0.855,0.786,0.817,4.47745499391348,20.0476032225208
"CHE",2000,0.888,0.837,0.854,0.785,0.82,4.47755915348655,20.0485359729712
"CHE",2001,0.888,0.837,0.854,0.785,0.82,4.47755915348655,20.0485359729712
"CHE",2002,0.888,0.837,0.854,0.79,0.82,4.48791352709716,20.1413678267016
"CHE",2003,0.888,0.842,0.855,0.79,0.82,4.49769567326037,20.2292663692651
"CHE",2004,0.888,0.842,0.855,0.791,0.819,4.49796874053585,20.2317227908377
"CHE",2005,0.888,0.842,0.855,0.791,0.819,4.49796874053585,20.2317227908377
"CHE",2006,0.888,0.842,0.855,0.791,0.82,4.49976654798249,20.2478989863423
"CHE",2007,0.89,0.845,0.857,0.793,0.821,4.51702113317172,20.4034799175199
"CHE",2008,0.898,0.854,0.865,0.802,0.83,4.5922211336751,21.0884949405722
"CHE",2009,0.898,0.853,0.865,0.802,0.83,4.59059504960548,21.0735629094624
"CHE",2010,0.898,0.853,0.868,0.802,0.83,4.59555022705088,21.1190818893474
"CHE",2011,0.9,0.855,0.869,0.803,0.831,4.60745612763323,21.228651968065
"CHE",2012,0.905,0.859,0.874,0.807,0.837,4.64912274770376,21.6143423232166
"CHE",2013,0.905,0.86,0.875,0.807,0.838,4.65419836503516,21.6615624210959
"CHE",2014,0.905,0.86,0.875,0.807,0.838,4.65419836503516,21.6615624210959
"CHE",2015,0.904,0.861,0.874,0.806,0.837,4.64873737889127,21.6107592179008
"CHE",2016,0.905,0.861,0.874,0.807,0.835,4.64877930094971,21.6111489889385
"CHE",2017,0.908,0.868,0.879,0.81,0.839,4.68652435915446,21.9635105689481
"CHE",2018,0.908,0.868,0.879,0.81,0.839,4.68652435915446,21.9635105689481
"CHE",2019,0.907,0.866,0.877,0.805,0.838,4.66624989609811,21.7738880928356
"GHA",1957,0.44,0.313,0.275,0.17,0.245,-0.340050060744523,0.115634043812354
"GHA",1958,0.404,0.299,0.278,0.153,0.233,-0.4710384601756,0.2218772309646
"GHA",1959,0.393,0.293,0.273,0.15,0.229,-0.519690732147633,0.270078457080143
"GHA",1960,0.352,0.273,0.236,0.147,0.219,-0.701750118746733,0.492453229161053
"GHA",1961,0.313,0.25,0.169,0.137,0.208,-0.951400138050873,0.90516222268322
"GHA",1962,0.297,0.228,0.164,0.132,0.208,-1.03085358594251,1.06265911565053
"GHA",1963,0.296,0.227,0.164,0.131,0.208,-1.03611720696386,1.07353886656659
"GHA",1964,0.289,0.22,0.156,0.129,0.205,-1.08121540936369,1.16902676144549
"GHA",1965,0.259,0.208,0.146,0.113,0.193,-1.21895322815244,1.48584697242325
"GHA",1966,0.15,0.11,0.084,0.075,0.166,-1.77871669104078,3.16383306698706
"GHA",1967,0.143,0.1,0.112,0.095,0.151,-1.74524546177782,3.04588172185608
"GHA",1968,0.144,0.101,0.109,0.094,0.151,-1.74907876764611,3.05927653543042
"GHA",1969,0.252,0.19,0.139,0.124,0.181,-1.26954552513515,1.61174584039069
"GHA",1970,0.396,0.332,0.25,0.17,0.238,-0.431965399029519,0.186594105958732
"GHA",1971,0.442,0.361,0.274,0.186,0.26,-0.200415319505206,0.040166300292374
"GHA",1972,0.151,0.112,0.117,0.092,0.153,-1.70755753530293,2.91575273636983
"GHA",1973,0.114,0.091,0.076,0.073,0.145,-1.92112164097437,3.69070835942004
"GHA",1974,0.116,0.091,0.047,0.072,0.138,-1.98054389200256,3.92255410814866
"GHA",1975,0.113,0.091,0.046,0.071,0.137,-1.9907642866753,3.9631424451018
"GHA",1976,0.113,0.091,0.05,0.07,0.137,-1.98622825813689,3.94510269342152
"GHA",1977,0.113,0.091,0.05,0.069,0.137,-1.98829913285901,3.95333344172791
"GHA",1978,0.116,0.091,0.059,0.092,0.139,-1.91750788033194,3.67683647113508
"GHA",1979,0.31,0.226,0.18,0.156,0.196,-0.959184228083523,0.920034383404183
"GHA",1980,0.543,0.411,0.306,0.257,0.298,0.30732578349374,0.0944491372000413
"GHA",1981,0.255,0.224,0.144,0.141,0.171,-1.18407325519406,1.40202947366586
"GHA",1982,0.111,0.078,0.048,0.088,0.157,-1.94057223320036,3.76582059226822
"GHA",1983,0.102,0.078,0.046,0.084,0.156,-1.96805695123226,3.87324816329361
"GHA",1984,0.1,0.078,0.047,0.082,0.154,-1.97727591421388,3.90962004093033
"GHA",1985,0.101,0.079,0.043,0.082,0.154,-1.98069007117517,3.92313315805191
"GHA",1986,0.101,0.08,0.048,0.081,0.153,-1.97467404019867,3.89933756503453
"GHA",1987,0.101,0.083,0.051,0.08,0.154,-1.9651136778199,3.86167176675485
"GHA",1988,0.102,0.088,0.051,0.1,0.154,-1.91399910079979,3.66339255786239
"GHA",1989,0.101,0.088,0.051,0.093,0.152,-1.93365750097753,3.73903133108667
"GHA",1990,0.107,0.096,0.071,0.097,0.15,-1.87352645474511,3.51010137662977
"GHA",1991,0.108,0.098,0.081,0.1,0.147,-1.85137116439852,3.42757518836633
"GHA",1992,0.175,0.116,0.13,0.124,0.165,-1.55413918944948,2.41534862018268
"GHA",1993,0.443,0.333,0.348,0.239,0.318,0.0918778912725423,0.00844154690468911
"GHA",1994,0.482,0.392,0.4,0.258,0.338,0.410109189374826,0.168189547209677
"GHA",1995,0.498,0.401,0.413,0.264,0.347,0.499888492624402,0.249888505058297
"GHA",1996,0.517,0.43,0.432,0.276,0.359,0.654618489518603,0.428525366819617
"GHA",1997,0.603,0.51,0.495,0.322,0.414,1.21763653997087,1.48263874347223
"GHA",1998,0.603,0.51,0.495,0.321,0.414,1.21556566524875,1.47759988653163
"GHA",1999,0.605,0.511,0.496,0.32,0.415,1.22170373231725,1.49256000955789
"GHA",2000,0.667,0.574,0.596,0.352,0.455,1.72463295742581,2.9743588378393
