"iso3c","year","oil","exporter"
"ARG",1999,269.526,0
"ARG",2000,277.953,0
"ARG",2001,288.058,0
"ARG",2002,266.834,0
"ARG",2003,224.407,0
"ARG",2004,175.815,0
"ARG",2005,149.286,0
"ARG",2006,87.683,0
"ARG",2007,56.999,0
"ARG",2008,60.2,0
"ARG",2009,91.292,0
"ARG",2010,55.809,0
"ARG",2011,60.48,0
"ARG",2012,70.21,0
"ARG",2013,48.65,0
"ARG",2014,48.51,0
"ARG",2015,42.44,0
"ARG",2016,53.93,0
"ARM",1980,0,0
"ARM",1981,0,0
"ARM",1982,0,0
"ARM",1983,0,0
"ARM",1984,0,0
"ARM",1985,0,0
"ARM",1986,0,0
"ARM",1987,0,0
"ARM",1988,0,0
"ARM",1989,0,0
"ARM",1990,0,0
"ARM",1991,0,0
"ARM",1992,0,0
"ARM",1993,0,0
"ARM",1994,0,0
"ARM",1995,0,0
"ARM",1996,0,0
"ARM",1997,0,0
"ARM",1998,0,0
"ARM",1999,0,0
"ARM",2000,0,0
"ARM",2001,0,0
"ARM",2002,0,0
"ARM",2003,0,0
"ARM",2004,0,0
"ARM",2005,0,0
"ARM",2006,0,0
"ARM",2007,0,0
"ARM",2008,0,0
"ARM",2009,0,0
"ARM",2010,0,0
"ARM",2011,0,0
"ARM",2012,0,0
"ARM",2013,0,0
"ARM",2014,0,0
"ARM",2015,0,0
"ARM",2016,0,0
"ASM",1980,0,0
"ASM",1981,0,0
"ASM",1982,0,0
"ASM",1983,0,0
"ASM",1984,0,0
"ASM",1985,0,0
"ASM",1986,0,0
"ASM",1987,0,0
"ASM",1988,0,0
"ASM",1989,0,0
"ASM",1990,0,0
"ASM",1991,0,0
"ASM",1992,0,0
"ASM",1993,0,0
"ASM",1994,0,0
"ASM",1995,0,0
"ASM",1996,0,0
"ASM",1997,0,0
"ASM",1998,0,0
"ASM",1999,0,0
"ASM",2000,0,0
"ASM",2001,0,0
"ASM",2002,0,0
"ASM",2003,0,0
"ASM",2004,0,0
"ASM",2005,0,0
"ASM",2006,0,0
"ASM",2007,0,0
"ASM",2008,0,0
"ASM",2009,0,0
"ASM",2010,0,0
"ASM",2011,0,0
"ASM",2012,0,0
"ASM",2013,0,0
"ASM",2014,0,0
"ASM",2015,0,0
"ASM",2016,0,0
"ATG",1980,0,0
"ATG",1981,0,0
"ATG",1982,0,0
"ATG",1983,0,0
"ATG",1984,0,0
"ATG",1985,0,0
"ATG",1986,0,0
"ATG",1987,0,0
"ATG",1988,0,0
"ATG",1989,0,0
"ATG",1990,0,0
"ATG",1991,0,0
"ATG",1992,0,0
"ATG",1993,0,0
"ATG",1994,0,0
"ATG",1995,0,0
"ATG",1996,0,0
"ATG",1997,0,0
"ATG",1998,0,0
"ATG",1999,0,0
"ATG",2000,0,0
"ATG",2001,0,0
"ATG",2002,0,0
"ATG",2003,0,0
"ATG",2004,0,0
"ATG",2005,0,0
"ATG",2006,0,0
"ATG",2007,0,0
"ATG",2008,0,0
"ATG",2009,0,0
"ATG",2010,0,0
"ATG",2011,0,0
"ATG",2012,0,0
"ATG",2013,0,0
"ATG",2014,0,0
"ATG",2015,0,0
"ATG",2016,0,0
"AUS",1980,0,0
"AUS",1981,0,0
"AUS",1982,0,0
"AUS",1983,0,0
"AUS",1984,16.25,0
"AUS",1985,88.925,0
"AUS",1986,81.595,0
"AUS",1987,88.884,0
"AUS",1988,102.515,0
"AUS",1989,75.194,0
"AUS",1990,107.986,0
"AUS",1991,145.583,0
"AUS",1992,141.661,0
"AUS",1993,157.738,0
"AUS",1994,144.432,0
"AUS",1995,175.749,0
"AUS",1996,162.281,0
"AUS",1997,179.02,0
"AUS",1998,213.043,0
"AUS",1999,200.02,0
"AUS",2000,308.855,0
"AUS",2001,392.145,0
"AUS",2002,386.228,0
"AUS",2003,314.103,0
"AUS",2004,261.232,0
"AUS",2005,229.964,0
"AUS",2006,189.984,0
"AUS",2007,236.203,0
"AUS",2008,234.672,0
"AUS",2009,252.458,0
"AUS",2010,275.84,0
"AUS",2011,299.363,0
"AUS",2012,262.199,0
"AUS",2013,236.547,0
"AUS",2014,224.109,0
"AUS",2015,230.267,0
"AUS",2016,215.925,0
"AUT",1980,0,0
"AUT",1981,0,0
"AUT",1982,0,0
"AUT",1983,0,0
