"","iso3c","year","cn"
"283","CAN",2001,1
"284","CAN",2002,1
"285","CAN",2003,1
"286","CAN",2004,1
"287","CAN",2005,1
"288","CAN",2006,1
"289","CAN",2007,1
"290","CAN",2008,1
"291","CAN",2009,1
"292","CAN",2010,1
"293","CAN",2011,1
"294","CAN",2012,1
"295","CAN",2013,1
"296","CAN",2014,1
"297","CAN",2015,1
"298","CAN",2016,1
"299","BHS",1973,1
"300","BHS",1974,1
"301","BHS",1975,1
"302","BHS",1976,1
"303","BHS",1977,1
"304","BHS",1978,1
"305","BHS",1979,1
"306","BHS",1980,1
"307","BHS",1981,1
"308","BHS",1982,1
"309","BHS",1983,1
"310","BHS",1984,1
"311","BHS",1985,1
"312","BHS",1986,1
"313","BHS",1987,1
"314","BHS",1988,1
"315","BHS",1989,1
"316","BHS",1990,1
"317","BHS",1991,1
"318","BHS",1992,1
"319","BHS",1993,1
"320","BHS",1994,1
"321","BHS",1995,1
"322","BHS",1996,1
"323","BHS",1997,1
"324","BHS",1998,1
"325","BHS",1999,1
"326","BHS",2000,1
"327","BHS",2001,1
"328","BHS",2002,1
"329","BHS",2003,1
"330","BHS",2004,1
"331","BHS",2005,1
"332","BHS",2006,1
"333","BHS",2007,1
"334","BHS",2008,1
"335","BHS",2009,1
"336","BHS",2010,1
"337","BHS",2011,1
"338","BHS",2012,1
"339","BHS",2013,1
"340","BHS",2014,1
"341","BHS",2015,1
"342","BHS",2016,1
"343","CUB",1902,1
"344","CUB",1903,1
"345","CUB",1904,1
"346","CUB",1905,1
"347","CUB",1906,1
"348","CUB",1909,1
"349","CUB",1910,1
"350","CUB",1911,1
"351","CUB",1912,1
"352","CUB",1913,1
"353","CUB",1914,1
"354","CUB",1915,1
"355","CUB",1916,1
"356","CUB",1917,1
"357","CUB",1918,1
"358","CUB",1919,1
"359","CUB",1920,1
"360","CUB",1921,1
"361","CUB",1922,1
"362","CUB",1923,1
"363","CUB",1924,1
"364","CUB",1925,1
"365","CUB",1926,1
"366","CUB",1927,1
"367","CUB",1928,1
"368","CUB",1929,1
"369","CUB",1930,1
"370","CUB",1931,1
"371","CUB",1932,1
"372","CUB",1933,1
"373","CUB",1934,1
"374","CUB",1935,1
"375","CUB",1936,1
"376","CUB",1937,1
"377","CUB",1938,1
"378","CUB",1939,1
"379","CUB",1940,1
"380","CUB",1941,1
"381","CUB",1942,1
